Timestamp,pres,temp1,umid,temp2,V450,B500,G550,Y570,O600,R650,temps1,temps2,lumina
10/29/2022 9:00,1000.237732,3.036521912,99.99694824,5.429913521,57.34871292,64.32613373,63.75796127,51.73780441,67.18558502,41.99824905,10.3984375,7.5,346.3544464
10/29/2022 10:00,1000.186584,10.37676239,89.68505859,11.6536684,75.13641357,80.01393127,97.95172882,71.65706635,104.249794,60.24343491,10.25,9.9296875,489.2523689
10/29/2022 11:00,999.7759399,16.64712524,74.23400879,16.97105217,83.55171967,84.44670105,98.91928101,71.32351685,100.6905823,57.75925064,10.1796875,11.796875,496.6910515
10/29/2022 12:00,999.2527466,16.96347809,70.6817627,17.75153923,97.78923798,98.59636688,109.1523132,84.15135193,111.0673065,74.32332611,10.2265625,12.5703125,575.0799026
10/29/2022 13:00,998.3331299,21.91223145,62.58544922,21.31156731,166.9554138,174.3657227,163.2277679,149.2440643,171.9919586,163.1607971,10.375,13.890625,988.9457244
10/29/2022 14:00,997.4423218,26.55698395,52.70690918,23.99543571,109.7705994,107.7236786,96.85652924,88.40232086,98.27947998,91.0850296,10.6171875,14.828125,592.1176377
10/29/2022 15:00,996.6594238,25.40956879,51.61437988,24.01557732,78.36756897,72.03360748,61.70043564,56.30854797,59.36791229,56.61693192,10.921875,15.15625,384.3950043
10/29/2022 16:00,996.2801514,21.13342285,54.4128418,21.2712841,65.48136139,58.35007477,39.75045395,43.89585114,41.68400955,39.85649109,11.2578125,14.6875,289.0182419
10/29/2022 17:00,995.7615356,16.83705139,77.10266113,17.00126457,18.24295235,17.84185791,11.19572353,11.44745827,9.327718735,9.357980728,11.5703125,14.2109375,77.41369152
10/29/2022 18:00,995.6913452,12.25579071,90.12145996,13.43620014,0.11703819,0.105871894,0.05170317,0.051793128,0.044160686,0.067828119,11.8203125,13.453125,0.438395187
10/29/2022 19:00,995.3649292,10.91394043,92.37670898,12.27302265,0,0,0,0,0,0,11.9921875,12.8984375,0
10/29/2022 20:00,995.6082153,8.417938232,99.99694824,10.3041811,0,0,0.001325722,0.001177117,0.001226686,0,12.0859375,12.2890625,0.003729525
10/29/2022 21:00,995.1590576,8.197669983,99.99694824,9.986950874,0,0,0.001325722,0.001177117,0.001226686,0,12.1171875,11.9921875,0.003729525
10/29/2022 22:00,995.1574097,7.40537262,99.99694824,9.357525826,0,0,0,0,0,0,12.1171875,11.59375,0
10/29/2022 23:00,995.440918,6.41191864,99.99694824,8.491436958,0,0,0,0,0,0,12.078125,11.171875,0
10/30/2022 0:00,995.2700806,5.697731018,99.99694824,7.856976509,0,0,0,0,0,0,12.0234375,10.7734375,0
10/30/2022 1:00,995.2775879,5.089744568,99.99694824,7.328259468,0,0,0,0,0,0,11.9453125,10.4765625,0
10/30/2022 2:00,995.1177979,5.330802917,99.99694824,7.574994087,0,0,0,0,0,0,11.8515625,10.3046875,0
10/30/2022 3:00,994.8847657,5.088336945,99.99694824,7.333294868,0,0,0,0,0,0,11.69921875,10.0078125,0
10/30/2022 4:00,995.0136108,5.287528992,99.99694824,7.494427681,0,0,0,0,0,0,11.546875,9.8984375,0
10/30/2022 5:00,994.8517456,5.963508606,99.99694824,8.113781929,0,0,0,0,0,0,11.453125,9.9765625,0
10/30/2022 6:00,994.6704102,6.022514343,99.99694824,8.224560738,0.018005874,0.016287984,0.006628611,0.007062699,0.004906743,0.005748145,11.375,9.953125,0.058640057
10/30/2022 7:00,994.8478394,6.765357971,99.99694824,8.798596382,16.31782341,18.71977997,11.38397598,12.93415642,9.765645981,12.02971935,11.3046875,10.078125,81.15110111
10/30/2022 8:00,995.2778931,7.572822571,99.99694824,9.589154243,39.80348587,44.13066483,31.66752625,35.89970016,28.1377182,25.99311447,11.25,10.28125,205.6322098
10/30/2022 9:00,995.3276367,10.90214539,99.99694824,12.52479267,132.8190002,171.7399597,112.6763687,139.4298401,103.0425568,115.494545,11.2109375,11.015625,775.2022705
10/30/2022 10:00,994.9417114,16.84660339,86.14196777,16.91062737,143.9297943,173.4207764,129.2883148,134.2572479,128.4510956,129.5160675,11.203125,12.6953125,838.8632965
10/30/2022 11:00,994.677002,20.63613129,74.83825684,20.45554924,161.7611542,192.1629486,111.2411652,126.9143066,116.828064,174.4815521,11.265625,14.0703125,883.3891907
10/30/2022 12:00,994.3293457,21.7015152,70.28198242,21.62376213,230.4257355,299.8343506,215.0590057,244.8119812,196.3920746,227.7547607,11.3984375,14.8671875,1414.277908
10/30/2022 13:00,994.161499,17.04889679,83.10241699,17.90260124,147.5389099,169.9827118,132.5028381,151.8930359,115.6545563,118.5128021,11.609375,14.2421875,836.0848541
10/30/2022 14:00,993.8143311,16.80390168,86.07940673,17.48466301,95.61133194,111.3143673,84.71077536,97.55425835,74.60220529,78.33104705,11.82421875,14.34765625,542.1239853
10/30/2022 15:00,993.4671631,16.55890656,89.05639648,17.06672478,43.68375397,52.6460228,36.91871262,43.2154808,33.54985428,38.14929199,12.0390625,14.453125,248.1631165
